id,carid,date,cost
1,93,2017-08-08 23:10:15,19619
2,53,2020-02-17 14:42:46,19963
3,52,2019-03-19 09:42:06,17230
4,28,2017-07-21 10:11:28,12350
5,54,2018-04-22 11:23:49,5166
6,43,2016-12-25 19:59:00,12645
7,46,2017-12-05 14:08:26,10271
8,57,2018-01-14 15:53:25,15754
9,31,2019-05-02 09:15:05,5165
10,90,2018-07-20 00:52:41,7381
11,18,2017-04-16 14:54:20,17526
12,53,2017-12-05 03:42:54,19858
13,78,2018-12-13 09:50:26,19481
14,32,2017-08-22 17:35:06,16175
15,79,2019-06-29 05:47:41,5225
16,69,2018-08-03 01:51:41,17406
17,92,2017-03-08 16:49:30,18872
18,33,2019-02-23 04:12:44,17439
19,8,2017-12-13 22:18:50,5509
20,7,2017-11-04 06:24:44,13730
21,96,2017-10-14 09:09:18,14510
22,71,2019-09-07 12:18:28,16758
23,93,2018-03-17 00:18:18,18206
24,41,2016-11-21 06:34:46,17378
25,45,2020-03-12 09:27:47,15199
26,59,2017-11-19 17:49:23,14904
27,29,2019-04-09 23:20:57,16186
28,20,2018-10-26 00:50:06,5680
29,77,2016-12-19 11:00:51,10771
30,29,2017-07-05 12:59:15,7704
31,27,2017-04-09 19:49:35,11793
32,99,2018-03-06 16:46:56,10442
33,54,2019-07-14 20:38:05,7476
34,30,2019-03-08 06:12:06,16706
35,47,2018-11-26 19:52:37,11191
36,61,2019-09-11 01:11:17,11184
37,44,2019-11-30 16:19:49,9501
38,13,2017-09-04 08:27:25,9082
39,62,2018-10-09 17:20:02,9266
40,84,2019-04-15 16:18:12,5207
41,3,2020-03-18 09:02:39,17343
42,49,2018-09-28 23:01:22,8801
43,89,2018-05-10 03:48:26,7137
44,58,2019-02-20 23:00:05,10366
45,80,2017-11-22 19:13:23,5260
46,67,2018-04-03 05:32:50,13823
47,43,2018-10-27 19:33:26,12352
48,2,2018-08-29 06:03:54,15508
49,66,2018-03-28 11:58:37,14350
50,59,2018-07-30 20:02:59,6314
51,18,2017-11-17 06:21:16,17808
52,70,2018-02-19 07:12:02,11699
53,22,2018-06-26 08:22:38,7043
54,18,2019-04-25 02:29:54,10694
55,87,2017-04-20 12:46:36,6245
56,61,2019-01-09 08:24:32,11391
57,15,2017-04-17 23:53:45,19889
58,2,2020-08-11 22:15:09,19779
59,95,2019-09-30 19:18:40,19996
60,48,2016-12-29 18:37:16,15687
61,8,2018-10-20 07:59:42,17497
62,89,2018-05-16 20:17:57,5283
63,4,2019-11-06 09:18:44,13533
64,91,2020-04-28 18:31:50,14373
65,64,2017-09-17 09:08:57,11739
66,14,2020-03-02 13:44:59,8764
67,7,2018-04-13 11:26:22,10754
68,59,2017-11-04 04:36:02,12954
69,59,2017-01-23 07:53:34,10240
70,3,2018-12-23 15:34:41,6208
71,14,2017-02-28 01:03:37,19054
72,49,2017-09-09 01:59:12,8586
73,48,2019-07-01 20:25:41,14827
74,80,2020-08-23 00:20:37,14058
75,17,2016-11-23 03:53:32,11894
76,100,2019-10-01 16:48:51,8628
77,4,2019-04-17 16:30:32,7104
78,42,2017-05-05 23:16:35,11130
79,51,2019-12-15 13:49:38,16521
80,61,2017-10-09 08:11:20,7879
81,11,2020-05-26 19:15:44,7285
82,93,2019-05-29 05:49:26,19496
83,77,2019-10-12 17:35:16,13295
84,67,2019-08-10 09:13:28,6130
85,44,2019-05-21 20:27:24,14826
86,86,2018-04-24 15:47:45,18144
87,35,2019-07-17 13:31:33,15407
88,56,2020-04-08 13:39:19,14112
89,89,2018-03-03 09:43:45,15646
90,74,2019-03-20 07:35:07,19100
91,32,2018-07-27 01:21:15,9486
92,54,2017-07-20 01:17:04,19034
93,85,2017-12-26 12:40:32,15128
94,60,2017-04-30 17:24:40,16251
95,96,2020-07-03 16:11:43,8296
96,24,2017-01-16 10:20:30,5890
97,35,2020-07-18 22:58:07,17365
98,26,2017-01-10 09:27:41,10917
99,21,2019-02-06 16:09:27,11431
100,86,2019-07-17 13:21:06,16204
101,49,2019-02-16 03:19:47,12567
102,23,2017-10-03 11:20:21,11237
103,49,2018-05-20 20:51:15,19705
104,15,2017-07-06 12:50:01,8937
105,98,2020-03-25 06:05:52,17229
106,41,2017-01-01 16:00:17,6932
107,2,2020-08-06 11:08:08,14617
108,2,2017-06-20 12:22:55,12468
109,100,2017-08-01 12:30:39,17126
110,81,2017-09-01 04:15:11,17673
111,49,2018-03-07 05:47:32,11594
112,89,2020-08-30 02:22:29,9302
113,59,2020-05-25 02:58:12,16178
114,24,2019-06-18 18:21:26,7707
115,21,2018-05-26 18:24:27,12464
116,76,2018-05-23 22:20:25,7746
117,12,2017-12-21 04:07:16,17700
118,62,2019-02-28 23:06:34,17079
119,30,2020-01-11 09:06:51,17587
120,97,2018-09-24 00:24:36,8398
121,9,2020-08-21 22:08:30,10870
122,46,2017-09-18 12:06:47,11991
123,36,2019-04-30 10:09:21,8286
124,77,2020-08-19 11:32:42,18041
125,38,2017-01-20 16:48:36,6765
126,45,2017-05-16 18:03:39,17724
127,43,2020-05-28 13:32:26,13709
128,92,2018-03-30 18:05:49,14054
129,95,2017-10-10 00:18:58,16604
130,78,2019-06-22 16:55:47,9710
131,93,2017-12-09 21:45:30,15518
132,29,2018-03-03 11:02:44,17327
133,12,2020-01-11 11:07:10,7011
134,52,2018-11-20 17:21:45,15707
135,21,2017-04-14 14:50:48,11126
136,90,2018-06-06 04:28:36,13618
137,8,2018-06-01 18:49:01,11016
138,9,2017-10-22 15:38:06,12837
139,34,2018-07-28 00:30:14,12299
140,30,2018-12-19 18:36:36,9553
141,38,2019-09-11 08:58:15,12864
142,23,2016-11-12 01:23:50,5018
143,51,2017-04-28 00:40:03,9151
144,34,2020-04-09 09:38:20,6018
145,83,2017-06-23 02:52:06,19329
146,45,2019-06-05 08:12:04,12739
147,11,2019-02-16 18:07:36,11816
148,62,2018-09-14 02:24:34,19588
149,3,2019-09-08 09:08:47,12244
150,44,2020-03-29 09:05:57,12785
151,76,2020-01-05 05:27:08,7678
152,81,2017-08-26 12:34:58,19133
153,88,2020-03-06 01:41:32,18037
154,92,2018-11-22 17:16:24,7472
155,60,2016-11-13 06:52:26,15716
156,39,2019-11-10 15:22:25,19125
157,55,2018-11-30 23:15:19,15702
158,11,2018-07-19 20:40:54,16211
159,12,2020-02-29 01:57:58,6510
160,97,2018-08-22 07:34:12,6241
161,49,2019-02-10 01:33:40,5940
162,59,2019-06-26 02:16:36,7833
163,26,2016-11-25 20:30:08,14782
164,37,2019-07-27 11:42:26,9462
165,73,2019-02-11 10:23:18,19141
166,71,2018-06-16 10:53:11,11743
167,94,2019-09-19 07:57:17,13110
168,87,2016-11-27 18:37:40,8724
169,27,2019-07-23 16:00:02,7761
170,68,2017-02-22 23:50:13,6882
171,29,2020-05-18 13:45:59,8634
172,76,2018-07-13 23:22:18,14003
173,66,2018-01-21 10:57:49,11937
174,80,2017-09-12 15:17:24,15755
175,34,2019-07-27 03:49:39,18201
176,68,2018-10-20 16:04:37,6281
177,40,2017-10-04 13:15:45,6582
178,7,2017-02-19 12:27:23,17600
179,56,2017-09-15 16:54:15,19863
180,88,2019-06-27 22:03:09,17024
181,68,2018-04-17 04:24:26,17543
182,60,2017-05-16 12:44:16,8677
183,71,2019-12-21 00:28:51,15558
184,41,2019-05-08 19:44:15,13843
185,44,2019-04-01 03:17:46,12191
186,33,2017-02-05 02:06:08,13303
187,40,2020-04-20 05:36:58,8818
188,66,2020-02-23 23:59:41,8152
189,76,2017-06-26 19:45:21,10714
190,3,2019-03-27 20:42:49,8475
191,32,2017-08-12 19:56:47,6971
192,27,2020-08-31 01:53:35,19258
193,78,2019-03-06 08:47:06,12719
194,58,2020-02-02 04:27:41,5449
195,84,2020-07-01 09:44:27,10707
196,52,2017-03-07 23:49:33,13378
197,18,2017-08-31 03:02:12,19519
198,34,2020-04-23 15:24:50,8693
199,51,2017-07-09 09:03:58,6268
200,95,2020-06-30 05:13:31,16106
